signal_date,market,stock_id,stock_name,industry,score,reasons,status,entry_date,entry_price,stop_price,return_1d,return_3d,return_5d,stop_hit_10d
2026-09-03,TWSE,2027,大成鋼,未分類,11,KD 低檔交叉｜接近 20 日高點｜量縮整理｜波動收斂｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,50.7,0.0,-1.69,-3.36,-5.63,False
2026-09-03,TWSE,2353,宏碁,未分類,10,20 日漲幅未過熱｜接近 20 日高點｜量縮整理｜波動收斂｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,31.95,0.0,1.65,-3.52,-2.11,False
2026-09-03,TWSE,9802,鈺齊-KY,未分類,10,20 日漲幅未過熱｜接近 20 日高點｜量縮整理｜波動收斂｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,72.7,0.0,-1.25,-2.76,-9.92,False
2026-09-03,TWSE,2618,長榮航,未分類,10,20 日漲幅未過熱｜接近 20 日高點｜量縮整理｜波動收斂｜貼近 MA20｜5 日相對強勢,skipped_no_trigger,,,,,,,
2026-09-03,TWSE,5522,遠雄,未分類,10,20 日漲幅未過熱｜接近 20 日高點｜量縮整理｜波動收斂｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,63.8,0.0,-0.39,-1.01,-2.42,False
2026-09-03,TWSE,6890,來億-KY,未分類,10,KD 低檔交叉｜20 日漲幅未過熱｜接近 20 日高點｜量縮整理｜波動收斂｜貼近 MA20,skipped_gap,,,,,,,
2026-09-03,TWSE,2352,佳世達,未分類,9,20 日漲幅未過熱｜接近 20 日高點｜量縮整理｜波動收斂｜5 日相對強勢,entered,2026-09-04,28.95,0.0,0.34,-1.74,-0.53,False
2026-09-03,TWSE,3356,奇偶,未分類,9,接近 20 日高點｜量縮整理｜波動收斂｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,62.6,0.0,-2.78,-5.49,,False
2026-09-03,TWSE,2753,八方雲集,未分類,9,20 日漲幅未過熱｜接近 20 日高點｜量縮整理｜波動收斂｜5 日相對強勢,entered,2026-09-04,180.5,0.0,-1.25,-1.53,-2.09,False
2026-09-03,TWSE,2382,廣達,未分類,9,接近 20 日高點｜量縮整理｜波動收斂｜貼近 MA20｜5 日相對強勢,entered,2026-09-04,340.5,0.0,0.62,-4.37,-2.02,False
2026-09-03,TWSE,2211,長榮鋼,未分類,9,20 日漲幅未過熱｜接近 20 日高點｜量縮整理｜波動收斂｜5 日相對強勢,entered,2026-09-04,83.6,0.0,-1.42,-1.18,-0.82,False
